Doc,Company,Year,Text
Doc1,ACI Worldwide ,1996,"Ask most people their impression of Nebraska and, once they've stifled a yawn,their reply will have something to do with corn, football and the Strategic Air Command. But there is more to Nebraska - and OMAHA in particular - than first comes to mind. "
Doc2,ACI Worldwide ,1996," People making their living on Wall Street will immediately recognize the name Warren Buffet, but how many know he lives in Omaha? In addition to Warren, and almost as successful, is Omaha's Henry Doorly Zoo - world class by anyone's definition. "
Doc3,ACI Worldwide ,1996, Our zoo has one of the world's largest free-flight aviaries and North America's largest facility for big cats. It also has an indoor rain forest - the world's largest - that houses more than 125 species of animals living among thousands of exotic plants. (The photograph of me on page five of this report was taken in the rain forest. I will explain the unique style of dress in a moment.) 
Doc4,ACI Worldwide ,1996," Another area that few people think of when they consider Nebraska is high technology. To amuse visitors, we sometimes call Omaha The Silicon Prairie. It is more than just a label, though. Omaha is home to companies like Inacom, CSG Systems, American Business Information, First Data and Transaction Systems Architects, Inc. (Nasdaq: TSAI). "
Doc5,ACI Worldwide ,1996," Transaction Systems contributes to The Silicon Prairie by building software that facilitates electronic commerce. Our products provide consumers and companies access to their money through the processing of transactions involving credit cards, debit cards, smart cards, home banking services, checks, wire transfers and automated clearing and settlement. Our software handled more than 12 billion automated teller machine and point-of-sale transactions last year. "
Doc6,ACI Worldwide ,1996," Many of our customers are the largest banks in the world. In fact, 106 of the top 500 banks worldwide (as measured by asset size) use a product built by Transaction Systems. As you can see from the chart on this page, we have plenty of opportunity among these large banks, many of which continue to use software they developed in the late 1970's or early 1980's. "
Doc7,ACI Worldwide ,1996," Also, our market niche is expanding with card-based transaction volumes increasing all over the world as growth in the use of cash and checks slows. The chart below documents one aspect of this trend in the United Kingdom. Because our software is priced in a volume-sensitive manner, we have benefited from this trend. In fiscal year 1996 we had revenues of $159.8 million, an increase of 35 percent over last year. Cash from record operating activities for the year totaled $17.7 million, up from $11.0 million. The company's cash balance at the end of September 1996 was $31.5 million. Our stock split two-for-one on July 1, 1996. "
Doc8,ACI Worldwide ,1996," But like the town in which we are headquartered, there is more to Transaction Systems than is immediately obvious. Our existing customers contribute more than 75 percent of our revenues in an average year through the purchase of additional capacity to handle increasing transaction volumes, the payment of maintenance fees and the licensing of new products. "
Doc9,ACI Worldwide ,1996," Our preferred pricing model is a monthly license fee which creates recurring revenues that enhance our long-term profitability. As of September 30, our level of monthly license fees had reached an annual run rate of $28 million. "
Doc10,ACI Worldwide ,1996," This type of pricing model helped us achieve a pro forma operating income (excluding acquisition-related charges) of $24 million in fiscal year 1996, up from $15.5 million last year. Our operating margin in the fourth quarter of the fiscal year reached 16 percent. "
Doc11,ACI Worldwide ,1996, Our approach to revenue recognition - typically recognizing revenue only after the products are installed - helps us maintain a rolling 12-month backlog of business. Our backlog grew 28 percent in fiscal 1996 reaching $105 million as of September 30. 
Doc12,ACI Worldwide ,1996, This backlog consisted of $34 million in non-recurring revenues and $71 million in recurring revenues. Backlog provides us with a visibility to our operations enjoyed by few software companies. This visibility allows us to reduce the volatility in our business. 
Doc13,ACI Worldwide ,1996," Perhaps one aspect of our company that separates us from other technology companies on the prairie is the scope of our international presence. Our solutions are used on more than 1,250 systems by more than 550 customers in 65 countries on six continents. This year 56 percent of our revenues came from outside the United States. While our U.S. revenues grew at a healthy 23 percent, our revenues in the Europe, Middle East, Africa region and the Asia Pacific region were up 50 and 88 percent, respectively. "
Doc14,ACI Worldwide ,1996," Because ours is an international business, we thought you might be interested in a world tour with stops in a few of our key markets. On the tour we will introduce you to the company, some of our leading customers and certain trends that are influencing our business around the globe. I will be the host for this tour. This explains the clothes I am wearing in the picture. The investor relations officer who insisted I wear them is now serving a special assignment. "
Doc15,ACI Worldwide ,1998,"I can hear the reaction? ??How can 16 billion of anything represent a start? After all, tallying just one billion of something is a huge accomplishment.?? OK, I admit that??s a valid point, but when your business is selling software that processes electronic transactions, you view 16 billion a little differently. Last year, TSA customers processed 16 billion transactions? the largest number yet, but just two percent of the estimated number of transactions generated around the world. That??s why at TSA, we think of 16 billion transactions as ??a start.?? "
Doc16,ACI Worldwide ,1998," Granted, it??s a good start. We??ve been in this business for more than 20 years and have a portfolio of applications that process smart card, debit card, credit card and loyalty card transactions from ATMs (Automated Teller Machines), POS (Pointof- Sale) devices, PCs (Personal Computers), the Internet, and a host of others. Our software is used in 70 countries by banks, retailers, stock exchanges and other enterprises needing high-volume, reliable processing seven days a week, 24 hours a day. "
Doc17,ACI Worldwide ,1998," TSA software is designed to help our more than 2,000 customers take advantage of the ongoing shift in payments from paper to pulse. This movement, fueled by the younger generation??s acceptance of electronic payments (for those of you scoring at home, my mom still won??t use an ATM, while my sons understand all too well how they work), continues to drive the growth in transaction volumes and the need for around-the-clock services?making our products even more attractive. "
Doc18,ACI Worldwide ,1998," During the past year we built on our solid history of strong financials by reaching a number of milestones. TSA achieved records in key financial metrics including record revenues of $289.8 million, record operating income of $51.0 million, and record backlog of $185.2 million. "
Doc19,ACI Worldwide ,1998," Our geographic diversity enabled TSA to ride out the recent difficult economic situations in various areas of the world. In fiscal year 1998, 54 percent of our revenues came from outside the United States. Our Americas revenues grew 20 percent, while our revenues in the Europe/Middle East/Africa region and the Asia/Pacific region were up 35 and 1 percent, respectively. "
Doc20,ACI Worldwide ,1998," In addition to our financial achievements, we completed several acquisitions to complement our product and service offerings. TSA acquired IntraNet to add to our corporate banking product expertise; SCIL and MINT to give us additional strength in the smart card product and integration arena; PRI to complement our information systems consulting offerings; and Edgeware to provide us with additional products for retailers. "
Doc21,ACI Worldwide ,1998, At TSA we believe our business of supplying software for electronic payments is just starting?that it is a business with significant growth opportunities all around the world. We also believe we are strategically positioned to take advantage of those opportunities. 
Doc22,ACI Worldwide ,1999,"Fellow Shareholders: No, that is not me on the cover of this year??s annual report. My photo is on the left. (I??m the tall guy with the full head of hair.) But the follicle-challenged gentleman gracing our cover raises an interesting point. Depending on our situation (and hairline) we all value different things at different times. As we begin our 25th year in business, we felt it appropriate to reflect on the things we value, and as we always do, to have a little fun. "
Doc23,ACI Worldwide ,1999," At TSA we value the expertise and good fortune that??s helped us become a leading provider of enterprise e-payment solutions. The explosion of Internet banking and e-commerce, the proliferation of debit cards, and the continued growth of e-payments are fueling a need for reliable, always available processing systems-just the products we??ve been providing for 25 years. "
Doc24,ACI Worldwide ,1999," More than 2,300 financial institutions, retailers, processors and telcos around the world use our solutions to smoothly and efficiently move money and information. In the past year TSA customers processed an estimated 18 billion electronic transactions, a small percentage of the world??s total volume when you factor in cash and checks, but a portion that is growing faster than paper-based transactions. The younger generation??s acceptance of technology is helping promote this shift from paper to pulse. Rising electronic transaction volumes coupled with the need for around-the-clock services, will make our products even more attractive. Since we base our pricing on transaction volumes, rising volumes enhance our business model. "
Doc25,ACI Worldwide ,1999," Our efforts to expand TSA??s footprint in international markets during the past fiscal year increased the number of countries in which we have customers by nine, bringing our total to 79. Our solutions attracted 241 new customers, including Deutsche Bank, currently the largest bank in the world by assets. Revenue for our 1999 fiscal year increased 19 percent to a record $354.8 million, including $125.5 million in recurring revenue from monthly license fees, maintenance fees and facility management. We posted record operating income of $70.3 million and a record backlog of contracted but not yet recognized business of $203.8 million. TSA acquired SDM International, Inc. and Insession, Inc. to expand our solution and platform set. We introduced a new line of Internet-based e-commerce solutions. Not bad for a year that some thought signaled the end of the world. "
Doc26,ACI Worldwide ,1999," As the fog of Y2K clouded the marketplace, we continued to focus on what we do best, provide solutions that help the world move money and information. Now as our customers concentrate on enhancing their systems, TSA is positioned to help. We??re working with customers to make our products and services-our Transaction SmoothwareTM-the industry standard. To us, Transaction Smoothware is more than a trademark. It is the way we work, our commitment to meet customers?? needs on time, on budget, with no surprises. We believe Transaction Smoothware will become the dominant infrastructure behind e-payments around the world. "
Doc27,ACI Worldwide ,1999," TSA??s aggressive investment in the Internet is providing the technology our customers need to support the next generation of payments. What do we value? At TSA we value the trust our customers have placed in our ability to provide proven solutions. We value our employees who help keep us in the ??right place at the right time.?? We value the growing e-payments market that complements our volume-sensitive pricing. And ultimately, we value the continued support and interest of our shareholders. "
Doc28,ACI Worldwide ,1999," If I might interject a personal note, I value the experiences-both good and sometimes difficult-I??ve had while serving as TSA??s chairman, president and CEO. It has been quite a ride. I also value my family. In order to spend more time with them, this annual report marks my last as president and CEO. While I remain as chairman of the board, I??ve turned over day-to-day duties to Dave Russell, a man whose leadership and talent I respect. Dave most recently served as chief operating officer and executive vice president of TSA, and president of our ACI Worldwide distribution channel. He brings more than 11 years of company experience to his new position as president and CEO, and I know he will do a great job. "
Doc29,ACI Worldwide ,2000,"So how was your year? A look at the numbers indicates fiscal year 2000 will not go down in the record books as TSA??s best. Revenue declined?not because of a new competitor or technology, but because of an event that will never occur again. Y2K. Our customers upgraded their processing infrastructures in advance of the Y2K event, then locked down their systems to ride out the transition.The lock-down dammed up our revenue stream and led to a tough year. "
Doc30,ACI Worldwide ,2000," A look behind the numbers paints a different picture.TSA customers sailed through the Y2K event with flying colors. Unlike the dire predictions of Y2K doomsayers, at 12:01 a.m. January 1  in every time zone around the globe   e-payments kept moving through our customers?? systems, ATMs continued to dispense cash, and consumers were able to use their plastic to purchase everything from a bottle of soda to glitzy Year 2000 mementos. "
Doc31,ACI Worldwide ,2000," As the fireworks faded and the world went back to work, we discovered that, like the house painter who had a banner year leading up to his small town??s centennial celebration, many of our customers enhanced their systems in advance of the big event and didn??t require our help in the months immediately following. "
Doc32,ACI Worldwide ,2000," As all great organizations do during difficult times, we turned the situation to our advantage. We took a step back to make sure TSA was still as we like to say in the right place at the right time.We examined both our technology and our organization, and we refined our choice of areas in which to focus our energies for the future.We also took stock of our unique assets. "
Doc33,ACI Worldwide ,2000," For example,TSA didn??t lose one customer to the Y2K event, and we continue to maintain a world-class customer list of leading financial institutions, retailers and e-payment processing companies. Our core e-payment technologies are second to none. No one offers the broad array of consumer e-payment solutions we do in as many countries as we do. TSA??s business model (based on volume-sensitive pricing, recurring license fees and backlog) allows us to take advantage of the accelerating shift from paper-based transactions to electronic-based. As a result, we believe no other solutions provider is in our position to benefit from the ongoing growth in consumer e-payments. "
